feature,family,mask,model,n,squared_error_sum,truth_energy_sum,rmse_sd,r2
TAG52:3-FA16:0,TAG,3,random_group_score_ridge,1539,334.1035892612618,1571.0007385891413,0.465930629007102,0.7873307242609522
TAG52:3-FA16:1,TAG,3,all_visible_ridge,1539,2.9343397750265447,1564.2525351059658,0.04366524390214135,0.9981241265657737
TAG52:3-FA16:1,TAG,3,family_score_ridge,1539,501.0940056242508,1564.2525351059658,0.5706112027073547,0.6796591379087612
TAG52:3-FA16:1,TAG,3,population_mean,1539,1564.2525351059658,1564.2525351059658,1.0081708212784035,0.0
TAG52:3-FA16:1,TAG,3,random_group_score_ridge,1539,455.2752291589432,1564.2525351059658,0.5438982993881173,0.7089503012196801
TAG52:3-FA18:0,TAG,1,all_visible_ridge,1539,5.31992935377351,1547.3677251106615,0.05879408320125389,0.996561948871337
TAG52:3-FA18:0,TAG,1,family_score_ridge,1539,123.9726351357621,1547.3677251106615,0.2838203990759285,0.9198815943205122
TAG52:3-FA18:0,TAG,1,population_mean,1539,1547.3677251106615,1547.3677251106615,1.002714873895124,0.0
TAG52:3-FA18:0,TAG,1,random_group_score_ridge,1539,137.20412855927606,1547.3677251106615,0.2985824518375763,0.9113306253369968
TAG52:3-FA18:1,TAG,2,all_visible_ridge,1539,1.5392321663563109,1566.152246342363,0.03162516174396956,0.9990171886737378
TAG52:3-FA18:1,TAG,2,family_score_ridge,1539,290.1166034433891,1566.152246342363,0.4341771686804498,0.8147583645709184
TAG52:3-FA18:1,TAG,2,population_mean,1539,1566.152246342363,1566.152246342363,1.0087828235788585,0.0
TAG52:3-FA18:1,TAG,2,random_group_score_ridge,1539,320.0484322578441,1566.152246342363,0.456024884654555,0.795646666532392
TAG52:3-FA18:2,TAG,1,all_visible_ridge,1539,1.2186494614653547,1571.2295200028266,0.02813974065625002,0.9992243975523938
TAG52:3-FA18:2,TAG,1,family_score_ridge,1539,372.4196430465719,1571.2295200028266,0.49192283150410643,0.762975658040143
TAG52:3-FA18:2,TAG,1,population_mean,1539,1571.2295200028266,1571.2295200028266,1.010416675610322,0.0
TAG52:3-FA18:2,TAG,1,random_group_score_ridge,1539,232.32100101583436,1571.2295200028266,0.38853032844894964,0.8521406337786879
TAG52:3-FA18:3,TAG,2,all_visible_ridge,1539,5.297047954373134,1544.2685144052257,0.05866750815879937,0.9965698659883555
TAG52:3-FA18:3,TAG,2,family_score_ridge,1539,215.7581153779274,1544.2685144052257,0.3744245013325563,0.8602845856369568
TAG52:3-FA18:3,TAG,2,population_mean,1539,1544.2685144052257,1544.2685144052257,1.0017102056961025,0.0
TAG52:3-FA18:3,TAG,2,random_group_score_ridge,1539,171.41072488111465,1544.2685144052257,0.3337334098897168,0.8890019946128777
TAG52:3-FA20:0,TAG,4,all_visible_ridge,1539,16.079421047161546,1571.2456443916428,0.10221529676248424,0.9897664498835336
