feature,family
TAG54:5-FA20:3,TAG
TAG54:5-FA20:4,TAG
TAG54:5-FA20:5,TAG
TAG54:5-FA22:5,TAG
TAG54:6-FA16:0,TAG
TAG54:6-FA16:1,TAG
TAG54:6-FA18:1,TAG
TAG54:6-FA18:2,TAG
TAG54:6-FA18:3,TAG
TAG54:6-FA20:3,TAG
TAG54:6-FA20:4,TAG
TAG54:6-FA20:5,TAG
TAG54:6-FA22:5,TAG
TAG54:6-FA22:6,TAG
TAG54:7-FA16:1,TAG
TAG54:7-FA18:1,TAG
TAG54:7-FA18:2,TAG
TAG54:7-FA18:3,TAG
TAG54:7-FA20:4,TAG
TAG54:7-FA20:5,TAG
TAG54:7-FA22:5,TAG
TAG54:7-FA22:6,TAG
TAG54:8-FA18:2,TAG
TAG54:8-FA18:3,TAG
TAG54:8-FA20:5,TAG
TAG54:8-FA22:6,TAG
TAG55:1-FA16:0,TAG
TAG55:1-FA18:1,TAG
TAG55:2-FA18:1,TAG
TAG55:2-FA18:2,TAG
TAG55:3-FA18:1,TAG
TAG55:3-FA18:2,TAG
TAG55:4-FA18:1,TAG
TAG55:4-FA18:2,TAG
TAG55:5-FA18:1,TAG
TAG55:5-FA18:2,TAG
TAG55:5-FA20:4,TAG
TAG55:7-FA22:6,TAG
TAG56:1-FA18:1,TAG
TAG56:10-FA18:2,TAG
TAG56:2-FA18:0,TAG
TAG56:2-FA20:0,TAG
TAG56:2-FA20:1,TAG
TAG56:3-FA16:0,TAG
TAG56:3-FA18:0,TAG
TAG56:3-FA18:1,TAG
TAG56:3-FA18:2,TAG
TAG56:3-FA20:0,TAG
TAG56:3-FA20:1,TAG
TAG56:3-FA20:2,TAG
TAG56:4-FA16:0,TAG
TAG56:4-FA18:0,TAG
TAG56:4-FA18:1,TAG
TAG56:4-FA18:2,TAG
TAG56:4-FA20:1,TAG
TAG56:4-FA20:2,TAG
TAG56:4-FA20:3,TAG
TAG56:4-FA20:4,TAG
TAG56:5-FA16:0,TAG
TAG56:5-FA18:0,TAG
TAG56:5-FA18:1,TAG
TAG56:5-FA18:2,TAG
TAG56:5-FA20:1,TAG
TAG56:5-FA20:2,TAG
TAG56:5-FA20:3,TAG
TAG56:5-FA20:4,TAG
TAG56:5-FA22:4,TAG
TAG56:5-FA22:5,TAG
TAG56:6-FA16:0,TAG
TAG56:6-FA18:0,TAG
TAG56:6-FA18:1,TAG
TAG56:6-FA18:2,TAG
TAG56:6-FA18:3,TAG
TAG56:6-FA20:2,TAG
TAG56:6-FA20:3,TAG
TAG56:6-FA20:4,TAG
TAG56:6-FA20:5,TAG
TAG56:6-FA22:4,TAG
TAG56:6-FA22:5,TAG
TAG56:6-FA22:6,TAG
TAG56:7-FA16:0,TAG
TAG56:7-FA16:1,TAG
TAG56:7-FA18:0,TAG
TAG56:7-FA18:1,TAG
TAG56:7-FA18:2,TAG
TAG56:7-FA18:3,TAG
TAG56:7-FA20:3,TAG
TAG56:7-FA20:4,TAG
TAG56:7-FA20:5,TAG
TAG56:7-FA22:4,TAG
TAG56:7-FA22:5,TAG
TAG56:7-FA22:6,TAG
TAG56:8-FA16:0,TAG
TAG56:8-FA16:1,TAG
TAG56:8-FA18:1,TAG
TAG56:8-FA18:2,TAG
TAG56:8-FA18:3,TAG
TAG56:8-FA20:4,TAG
TAG56:8-FA20:5,TAG
TAG56:8-FA22:5,TAG
TAG56:8-FA22:6,TAG
TAG56:9-FA18:3,TAG
TAG56:9-FA20:4,TAG
TAG56:9-FA20:5,TAG
TAG56:9-FA22:6,TAG
TAG57:2-FA18:1,TAG
TAG57:3-FA18:2,TAG
TAG58:10-FA18:2,TAG
TAG58:10-FA20:4,TAG
TAG58:10-FA22:6,TAG
TAG58:3-FA18:1,TAG
TAG58:5-FA18:1,TAG
TAG58:6-FA18:0,TAG
TAG58:6-FA18:1,TAG
TAG58:6-FA20:4,TAG
TAG58:6-FA22:4,TAG
TAG58:6-FA22:5,TAG
TAG58:7-FA16:0,TAG
TAG58:7-FA18:0,TAG
TAG58:7-FA18:1,TAG
TAG58:7-FA18:2,TAG
TAG58:7-FA20:4,TAG
TAG58:7-FA22:4,TAG
TAG58:7-FA22:5,TAG
TAG58:7-FA22:6,TAG
TAG58:8-FA18:1,TAG
TAG58:8-FA18:2,TAG
TAG58:8-FA20:3,TAG
TAG58:8-FA20:4,TAG
TAG58:8-FA22:5,TAG
TAG58:8-FA22:6,TAG
TAG58:9-FA18:1,TAG
TAG58:9-FA18:2,TAG
TAG58:9-FA20:4,TAG
TAG58:9-FA22:5,TAG
TAG58:9-FA22:6,TAG
TAG60:10-FA22:5,TAG
TAG60:10-FA22:6,TAG
TAG60:11-FA22:6,TAG
