feature,family,mask
TAG49:2-FA15:0,TAG,3
TAG50:0-FA18:0,TAG,3
TAG50:1-FA14:0,TAG,3
TAG50:1-FA16:1,TAG,3
TAG50:2-FA18:1,TAG,3
TAG50:3-FA14:0,TAG,3
TAG50:3-FA16:0,TAG,3
TAG50:3-FA18:0,TAG,3
TAG50:4-FA14:1,TAG,3
TAG51:2-FA15:0,TAG,3
TAG51:2-FA17:0,TAG,3
TAG51:4-FA15:0,TAG,3
TAG52:1-FA16:0,TAG,3
TAG52:1-FA18:1,TAG,3
TAG52:1-FA20:1,TAG,3
TAG52:2-FA16:0,TAG,3
TAG52:2-FA18:0,TAG,3
TAG52:2-FA18:1,TAG,3
TAG52:2-FA20:1,TAG,3
TAG52:2-FA20:2,TAG,3
TAG52:3-FA16:0,TAG,3
TAG52:3-FA16:1,TAG,3
TAG52:3-FA20:1,TAG,3
TAG52:3-FA20:3,TAG,3
TAG52:4-FA16:0,TAG,3
TAG52:4-FA20:0,TAG,3
TAG52:4-FA20:2,TAG,3
TAG52:5-FA16:0,TAG,3
TAG52:5-FA18:1,TAG,3
TAG52:5-FA18:2,TAG,3
TAG52:5-FA20:4,TAG,3
TAG52:7-FA18:1,TAG,3
TAG53:1-FA16:0,TAG,3
TAG53:1-FA18:0,TAG,3
TAG53:2-FA18:2,TAG,3
TAG53:4-FA17:0,TAG,3
TAG54:2-FA18:0,TAG,3
TAG54:2-FA20:2,TAG,3
TAG54:3-FA16:0,TAG,3
TAG54:3-FA18:1,TAG,3
TAG54:4-FA18:3,TAG,3
TAG54:4-FA20:1,TAG,3
TAG54:4-FA22:1,TAG,3
TAG54:5-FA16:0,TAG,3
TAG54:5-FA18:0,TAG,3
TAG54:6-FA20:3,TAG,3
TAG54:6-FA22:6,TAG,3
TAG54:8-FA18:2,TAG,3
TAG56:2-FA20:1,TAG,3
TAG56:5-FA18:0,TAG,3
TAG56:5-FA18:1,TAG,3
TAG56:6-FA20:5,TAG,3
TAG56:6-FA22:5,TAG,3
TAG56:7-FA22:5,TAG,3
TAG56:7-FA22:6,TAG,3
TAG56:8-FA16:1,TAG,3
TAG58:10-FA20:4,TAG,3
TAG58:6-FA18:0,TAG,3
TAG58:7-FA16:0,TAG,3
TAG58:7-FA22:5,TAG,3
TAG58:8-FA20:3,TAG,3
CE(18:3),CE,4
CE(22:5),CE,4
FFA(16:0),FFA,4
FFA(16:1),FFA,4
FFA(18:1),FFA,4
FFA(20:1),FFA,4
FFA(22:0),FFA,4
LPC(18:0),LPC,4
LPE(18:1),LPE,4
PC(14:0_18:2),PC,4
PC(16:0_14:0),PC,4
PC(16:0_20:3),PC,4
PC(18:0_18:2),PC,4
PC(18:0_20:3),PC,4
PC(18:1_20:4),PC,4
PC(18:2_18:2),PC,4
PE(O-18:0_20:4),PE,4
PE(P-16:0_18:1),PE,4
PE(P-16:0_18:2),PE,4
PE(P-18:0_18:1),PE,4
PI(18:0_18:2),PI,4
SM(24:1),SM,4
SM(26:0),SM,4
TAG44:1-FA16:0,TAG,4
TAG46:1-FA12:0,TAG,4
TAG46:1-FA14:0,TAG,4
TAG46:2-FA14:0,TAG,4
TAG46:2-FA18:2,TAG,4
TAG47:2-FA18:1,TAG,4
TAG48:0-FA14:0,TAG,4
TAG48:0-FA16:0,TAG,4
TAG48:0-FA18:0,TAG,4
TAG48:2-FA18:2,TAG,4
TAG48:3-FA12:0,TAG,4
TAG49:2-FA16:0,TAG,4
