assay_metabolite_id,mapping_status,mapping_reason,human_gem_base_id,display_name,matched_by,candidate_human_gem_base_ids,hmdb_id,chebi_id,mapping_origin
5-adenosylhomocysteine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
carnosine,mapped,unique_stable_or_exact_model_mapping,MAM01423,carnosine,HMDB;ChEBI,MAM01423,HMDB0000033,CHEBI:15727,unique_exact_normalized_name
N-carbamoyl-beta-alanine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
thiamine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
niacinamide,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
betaine,mapped,unique_stable_or_exact_model_mapping,MAM01393,betaine,HMDB;ChEBI,MAM01393,HMDB0000043,CHEBI:17750,curated_stable_id
choline,mapped,unique_stable_or_exact_model_mapping,MAM01513,choline,HMDB;ChEBI,MAM01513,HMDB0000097,CHEBI:15354,curated_stable_id
alpha-glycerophosphocholine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
acetylcholine,mapped,unique_stable_or_exact_model_mapping,MAM01260,acetylcholine,HMDB;ChEBI,MAM01260,HMDB0000895,CHEBI:15355,unique_exact_normalized_name
creatine,mapped,unique_stable_or_exact_model_mapping,MAM01619,creatine,HMDB;ChEBI,MAM01619,HMDB0000064,CHEBI:16919,unique_exact_normalized_name
creatinine,mapped,unique_stable_or_exact_model_mapping,MAM01621,creatinine,HMDB;ChEBI,MAM01621,HMDB0000562,CHEBI:16737,unique_exact_normalized_name
thyroxine,mapped,unique_stable_or_exact_model_mapping,MAM02998,thyroxine,HMDB;ChEBI,MAM02998,HMDB0000248,CHEBI:18332,unique_exact_normalized_name
trimethylamine-N-oxide,mapped,unique_stable_or_exact_model_mapping,MAM03054,trimethylamine-N-oxide,ChEBI,MAM03054,,CHEBI:15724,unique_exact_normalized_name
hexoses (HILIC pos),not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
adenosine,mapped,unique_stable_or_exact_model_mapping,MAM01280,adenosine,HMDB;ChEBI,MAM01280,HMDB0000050,CHEBI:16335,unique_exact_normalized_name
thymidine,mapped,unique_stable_or_exact_model_mapping,MAM02996,thymidine,HMDB;ChEBI,MAM02996,HMDB0000273,CHEBI:17748,unique_exact_normalized_name
xanthosine,mapped,unique_stable_or_exact_model_mapping,MAM03149,xanthosine,HMDB;ChEBI,MAM03149,HMDB0000299,CHEBI:18107,unique_exact_normalized_name
2-deoxyadenosine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
2-deoxycytidine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
cAMP,mapped,unique_stable_or_exact_model_mapping,MAM01419,cAMP,HMDB;ChEBI,MAM01419,HMDB0000058,CHEBI:17489,unique_exact_normalized_name
