trait_id,trait_description,context,catalog_trait,accession,cohort,trait,variant_count,pubmed_id,md5,genome_assembly
Phe,Phenylalanine,current_smoking,Phenylalanine x current-smoking interaction,GCST90687814,UKB,Phenylalanine x current-smoking interaction,1478375,41606330,3b59587c95249cd9f4ae6f5f1bc879aa,GRCh37
Phe,Phenylalanine,ever_drinking,Phenylalanine x ever-drinking interaction,GCST90683589,BBJ,Phenylalanine x ever-drinking interaction,1009487,41606330,07914d261969e38b5041b6decd1475ff,GRCh37
Phe,Phenylalanine,ever_drinking,Phenylalanine x ever-drinking interaction,GCST90687164,UKB,Phenylalanine x ever-drinking interaction,1478375,41606330,86722ba15b7c3058eb66adacbb8adc4c,GRCh37
Phe,Phenylalanine,ever_smoking,Phenylalanine x ever-smoking interaction,GCST90683914,BBJ,Phenylalanine x ever-smoking interaction,1009489,41606330,ea75b11f41c4dc2f3a078a23396438d5,GRCh37
Phe,Phenylalanine,ever_smoking,Phenylalanine x ever-smoking interaction,GCST90687489,UKB,Phenylalanine x ever-smoking interaction,1478375,41606330,de6db5075d895d6e01a4ed53afcf39d9,GRCh37
Phe,Phenylalanine,physical_activity,Phenylalanine x physical activity interaction,GCST90685539,BBJ,Phenylalanine x physical activity interaction,1009443,41606330,102333becdb3cfbbe84ef9bdcf628370,GRCh37
Phe,Phenylalanine,physical_activity,Phenylalanine x physical activity interaction,GCST90689114,UKB,Phenylalanine x physical activity interaction,1478371,41606330,7e491df2fe5f722a0edfbe3ceb92135c,GRCh37
Phe,Phenylalanine,sex,Phenylalanine x sex interaction,GCST90682939,BBJ,Phenylalanine x sex interaction,1009500,41606330,42d53c26ea423541cfb36e7eb99a251d,GRCh37
Phe,Phenylalanine,sex,Phenylalanine x sex interaction,GCST90686514,UKB,Phenylalanine x sex interaction,1478373,41606330,b8b009c9ef60aec015203e2db6396084,GRCh37
Pyruvate,Pyruvate,age,Pyruvate x age interaction,GCST90683268,BBJ,Pyruvate x age interaction,1009517,41606330,4b214b4b03355b008284a268ac112c2c,GRCh37
Pyruvate,Pyruvate,age,Pyruvate x age interaction,GCST90686843,UKB,Pyruvate x age interaction,1478381,41606330,ffcfc6d3e5f0203a02854f72e8b7a05a,GRCh37
Pyruvate,Pyruvate,current_smoking,Pyruvate x current-smoking interaction,GCST90684243,BBJ,Pyruvate x current-smoking interaction,1009463,41606330,7bf04ecf86bda032e8ee348b9d7c5547,GRCh37
Pyruvate,Pyruvate,current_smoking,Pyruvate x current-smoking interaction,GCST90687818,UKB,Pyruvate x current-smoking interaction,1478378,41606330,bda1f5c62f65f8744535853a82bf1757,GRCh37
Pyruvate,Pyruvate,ever_drinking,Pyruvate x ever-drinking interaction,GCST90683593,BBJ,Pyruvate x ever-drinking interaction,1009484,41606330,e1ef33ec98391549db179dc9ed90befb,GRCh37
Pyruvate,Pyruvate,ever_drinking,Pyruvate x ever-drinking interaction,GCST90687168,UKB,Pyruvate x ever-drinking interaction,1478384,41606330,48fbdce94cfd086a33a5c49b8466d4c6,GRCh37
