sample_id,subject_id,mask,repeat,fold,model,hidden_features,mean_squared_error,truth_energy,precision_at_k,ndcg_at_k
03252019_C5_batch14-__1479__ZK4CK8Y-06_937,ZK4CK8Y,0,0,0,population_mean,103,0.7863950399123193,0.7863950399123193,0.0,0.2196739791162179
04052019_C5_batch19-__59__ZK4CK8Y-12_1245,ZK4CK8Y,0,0,0,population_mean,103,1.3500254873102098,1.3500254873102098,0.0,0.19701046154007965
04052019_C5_batch19-__701__ZK4CK8Y-09_1221,ZK4CK8Y,0,0,0,population_mean,103,1.6019204005946612,1.6019204005946612,0.6666666666666666,0.4387730746184035
04082019_C5_batch20-__1215__ZQFL1P3-6031_1279,ZQFL1P3,0,0,0,population_mean,103,0.17683617132133134,0.17683617132133134,0.6666666666666666,0.7285456637534142
04082019_C5_batch20-__1432__ZK4CK8Y-08_1303,ZK4CK8Y,0,0,0,population_mean,103,1.1304903239339252,1.1304903239339252,0.0,0.2770433505785813
04082019_C5_batch20-__635__ZK4CK8Y-E11_1286,ZK4CK8Y,0,0,0,population_mean,103,0.7387033543477804,0.7387033543477804,0.0,0.16015216041855956
04152019_C5_batch22-__1429__ZK4CK8Y-11_1385,ZK4CK8Y,0,0,0,population_mean,103,1.4613056780237574,1.4613056780237574,0.3333333333333333,0.4021225407704667
04152019_C5_batch22-New_98_NewZK4CK8Y-14,ZK4CK8Y,0,0,0,population_mean,103,1.5462868555096982,1.5462868555096982,1.0,0.5856260540382896
04172019_C5_batch23-__226__ZK4CK8Y-04_1479,ZK4CK8Y,0,0,0,population_mean,103,1.3088024482122997,1.3088024482122997,0.0,0.020178462915439538
02122019_C5_batch01-ZOZOW1T-V_,ZOZOW1T,0,0,0,population_mean,103,0.45775601577928904,0.45775601577928904,0.3333333333333333,0.3796926720699412
02132019_C5_batch02-ZOZOW1T-7015_89,ZOZOW1T,0,0,0,population_mean,103,0.597494422989614,0.597494422989614,0.3333333333333333,0.6945842488467179
02182019_C5_batch03-ZOZOW1T-VII_144,ZOZOW1T,0,0,0,population_mean,103,1.2726046342012534,1.2726046342012534,0.0,0.22540019272053807
02182019_C5_batch03-ZOZOW1T-XXVI_109,ZOZOW1T,0,0,0,population_mean,103,1.0140760008368508,1.0140760008368508,0.0,0.3965250461881394
02202019_C5_batch04-ZOZOW1T-7046_211,ZOZOW1T,0,0,0,population_mean,103,0.5572074335469231,0.5572074335469231,0.0,0.10128308363414279
02202019_C5_batch04-ZOZOW1T-84_171,ZOZOW1T,0,0,0,population_mean,103,0.6020902683777106,0.6020902683777106,0.0,0.3460145881201668
02222019_C5_batch05-ZOZOW1T-62_283,ZOZOW1T,0,0,0,population_mean,103,1.4315217787410879,1.4315217787410879,0.0,0.17076954301046224
02222019_C5_batch05-ZOZOW1T-77_269,ZOZOW1T,0,0,0,population_mean,103,0.9054445581378435,0.9054445581378435,0.3333333333333333,0.8446253452451703
02252019_C5_batch05-__1056__ZOZOW1T-78_331,ZOZOW1T,0,0,0,population_mean,103,0.7626553061393055,0.7626553061393055,0.0,0.3763121470339447
02252019_C5_batch05-__1260__ZOZOW1T-XX_328,ZOZOW1T,0,0,0,population_mean,103,3.0078311711168424,3.0078311711168424,0.0,0.26370693763331476
02272019_C5_batch07-__1031__ZOZOW1T-83_388,ZOZOW1T,0,0,0,population_mean,103,0.3873889262327963,0.3873889262327963,0.0,0.36911724384413347
02272019_C5_batch07-__845__ZOZOW1T-63_412,ZOZOW1T,0,0,0,population_mean,103,1.1271292157802812,1.1271292157802812,0.0,0.43995826800988747
03012019_C5_batch08-__291__ZOZOW1T-6031_523,ZOZOW1T,0,0,0,population_mean,103,0.7403573534635989,0.7403573534635989,0.0,0.24525543708727346
03042019_C5_batch09-__11__ZOZOW1T-43_588,ZOZOW1T,0,0,0,population_mean,103,0.6071741136147443,0.6071741136147443,0.3333333333333333,0.5276444243870301
03042019_C5_batch09-__795__ZOZOW1T-45_604,ZOZOW1T,0,0,0,population_mean,103,0.6314097867726862,0.6314097867726862,1.0,0.8902432341516513
03062019_C5_batch10-__1233__ZOZOW1T-XIX_614,ZOZOW1T,0,0,0,population_mean,103,0.3695335247120655,0.3695335247120655,0.3333333333333333,0.44497088600032175
03062019_C5_batch10-__1482__ZOZOW1T-71_646,ZOZOW1T,0,0,0,population_mean,103,0.3345963780672543,0.3345963780672543,0.0,0.3577381692315554
03082019_C5_batch11-__1092__ZOZOW1T-XXV_704,ZOZOW1T,0,0,0,population_mean,103,0.3461749450496065,0.3461749450496065,0.6666666666666666,0.562390858549696
03082019_C5_batch11-__53__ZOZOW1T-7013_732,ZOZOW1T,0,0,0,population_mean,103,1.5054764922081874,1.5054764922081874,0.0,0.41351346266103645
03112019_C5_batch12-__1063__ZOZOW1T-74_827,ZOZOW1T,0,0,0,population_mean,103,0.41840344773981597,0.41840344773981597,0.6666666666666666,0.5462490462169579
03112019_C5_batch12-__14__ZOZOW1T-75_762,ZOZOW1T,0,0,0,population_mean,103,1.072104062267784,1.072104062267784,0.0,0.21376879285048203
03132019_C5_batch13-__1419__ZOZOW1T-7036_876,ZOZOW1T,0,0,0,population_mean,103,0.5058512361108203,0.5058512361108203,0.0,0.22067301124880437
03132019_C5_batch13-__549__ZOZOW1T-7012_830,ZOZOW1T,0,0,0,population_mean,103,0.5441936188502229,0.5441936188502229,0.3333333333333333,0.3665184225919586
03132019_C5_batch13-__774__ZRGK7U8-01_845,ZRGK7U8,0,0,0,population_mean,103,0.5090740243976434,0.5090740243976434,0.0,0.20174437908874945
03252019_C5_batch14-__1485__ZOZOW1T-61_917,ZOZOW1T,0,0,0,population_mean,103,1.0648277565366224,1.0648277565366224,0.6666666666666666,0.8363504056554615
03252019_C5_batch14-__898__ZOZOW1T-V_911,ZOZOW1T,0,0,0,population_mean,103,1.524565573114975,1.524565573114975,1.0,0.5046256832827587
03272019_C5_batch15-__1017__ZOZOW1T-6021_1011,ZOZOW1T,0,0,0,population_mean,103,0.5640268885195363,0.5640268885195363,0.0,0.28010962997814337
03272019_C5_batch15-__1185__ZOZOW1T-7022_978,ZOZOW1T,0,0,0,population_mean,103,0.7593290614128011,0.7593290614128011,0.6666666666666666,0.6903635719958203
