hypothesis_id,metabolite_a,metabolite_a_name,metabolite_b,metabolite_b_name,direction_status,genes,gene_count,reaction_ids,reaction_distance,intermediate_metabolites,subsystems,contains_transport_reaction,review_priority,pathway_source,path_search_truncated,signature_prevalence,expected_discovery_carriers,expected_replication_carriers,discovery_power,replication_power,eligible,ineligibility_reason
GGM-0000070,CMP,CMP,cytidine,cytidine,unresolved,NT5C2,1,MAR04177,0,,Pyrimidine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C2
GGM-0000071,CMP,CMP,cytidine,cytidine,unresolved,NT5C3A,1,MAR04177,0,,Pyrimidine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C3A
GGM-0000072,CMP,CMP,cytidine,cytidine,unresolved,NT5C3B,1,MAR04177,0,,Pyrimidine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C3B
GGM-0000073,CMP,CMP,cytidine,cytidine,unresolved,NT5E,1,MAR04177,0,,Pyrimidine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5E
GGM-0000074,CMP,CMP,cytidine,cytidine,unresolved,RBAK,1,MAR04179,0,,Pyrimidine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: RBAK
GGM-0000075,CMP,CMP,cytidine,cytidine,unresolved,UCK1,1,MAR04180,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: UCK1
GGM-0000076,CMP,CMP,cytidine,cytidine,unresolved,UCK2,1,MAR04180,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: UCK2
GGM-0000077,CMP,CMP,cytidine,cytidine,unresolved,UCKL1,1,MAR04180,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: UCKL1
GGM-0000078,CMP,CMP,inositol,inositol,unresolved,CDIPT,1,MAR00610,0,,Glycerophospholipid metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: CDIPT
GGM-0000079,GMP,GMP,NADP,NADP+,unresolved,GMPR,1,MAR04419,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: GMPR
GGM-0000080,GMP,GMP,NADP,NADP+,unresolved,GMPR2,1,MAR04419,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: GMPR2
GGM-0000081,GMP,GMP,UMP,UMP,unresolved,TREX1,1,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: TREX1
GGM-0000082,GMP,GMP,UMP,UMP,unresolved,TREX2,1,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: TREX2
GGM-0000083,GMP,GMP,UMP,UMP,unresolved,RAD1;RAD9A,2,MAR07164,0,,Nucleotide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: RAD1;RAD9A
GGM-0000084,GMP,GMP,guanosine,guanosine,unresolved,ACP3,1,MAR04449,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ACP3
GGM-0000085,GMP,GMP,guanosine,guanosine,unresolved,NT5C,1,MAR04449,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C
GGM-0000086,GMP,GMP,guanosine,guanosine,unresolved,NT5C1A,1,MAR04449,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C1A
GGM-0000087,GMP,GMP,guanosine,guanosine,unresolved,NT5C1B,1,MAR04449,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C1B
GGM-0000088,GMP,GMP,guanosine,guanosine,unresolved,NT5C2,1,MAR04449,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C2
GGM-0000089,GMP,GMP,guanosine,guanosine,unresolved,NT5C3A,1,MAR04449,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C3A
GGM-0000090,GMP,GMP,guanosine,guanosine,unresolved,NT5C3B,1,MAR04449,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5C3B
GGM-0000091,GMP,GMP,guanosine,guanosine,unresolved,NT5E,1,MAR04449,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5E
GGM-0000092,GMP,GMP,guanosine,guanosine,unresolved,NT5M,1,MAR04450,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NT5M
GGM-0000093,GMP,GMP,guanosine,guanosine,unresolved,RBAK,1,MAR04450,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: RBAK
GGM-0000094,NAD,NAD+,NADP,NADP+,unresolved,ACP3,1,MAR04270,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ACP3
GGM-0000095,NAD,NAD+,NADP,NADP+,unresolved,ACP4,1,MAR04270,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ACP4
GGM-0000096,NAD,NAD+,NADP,NADP+,unresolved,ACP5,1,MAR04270,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ACP5
GGM-0000097,NAD,NAD+,NADP,NADP+,unresolved,ACP6,1,MAR04270,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ACP6
GGM-0000098,NAD,NAD+,NADP,NADP+,unresolved,ACP7,1,MAR04270,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ACP7
GGM-0000099,NAD,NAD+,NADP,NADP+,unresolved,NADK,1,MAR04269,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NADK
GGM-0000100,NAD,NAD+,NADP,NADP+,unresolved,NADK2,1,MAR04268,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NADK2
GGM-0000101,NAD,NAD+,NADP,NADP+,unresolved,PXYLP1,1,MAR04270,0,,Nicotinate and nicotinamide metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PXYLP1
GGM-0000102,NAD,NAD+,beta-alanine,beta-alanine,unresolved,ALDH1B1,1,MAR00088,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH1B1
GGM-0000103,NAD,NAD+,beta-alanine,beta-alanine,unresolved,ALDH2,1,MAR00088,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH2
GGM-0000104,NAD,NAD+,beta-alanine,beta-alanine,unresolved,ALDH3A2,1,MAR07993,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH3A2
GGM-0000105,NAD,NAD+,beta-alanine,beta-alanine,unresolved,ALDH7A1,1,MAR07993,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH7A1
GGM-0000106,NAD,NAD+,beta-alanine,beta-alanine,unresolved,ALDH9A1,1,MAR07993,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH9A1
GGM-0000107,NAD,NAD+,hypoxanthine,hypoxanthine,unresolved,XDH,1,MAR04519,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: XDH
GGM-0000108,NAD,NAD+,malate,malate,unresolved,MDH1,1,MAR04139,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: MDH1
GGM-0000109,NAD,NAD+,malate,malate,unresolved,MDH1B,1,MAR04139,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: MDH1B
GGM-0000110,NAD,NAD+,malate,malate,unresolved,MDH2,1,MAR04141,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: MDH2
GGM-0000111,NAD,NAD+,malate,malate,unresolved,ME2,1,MAR04087,0,,Pyruvate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ME2
GGM-0000112,NAD,NAD+,malate,malate,unresolved,ME3,1,MAR04087,0,,Pyruvate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ME3
GGM-0000113,NAD,NAD+,oxalate,oxalate,unresolved,LDHAL6A,1,MAR08780,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: LDHAL6A
GGM-0000114,NAD,NAD+,oxalate,oxalate,unresolved,LDHAL6B,1,MAR08780,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: LDHAL6B
GGM-0000115,NAD,NAD+,oxalate,oxalate,unresolved,LDHB,1,MAR08780,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: LDHB
GGM-0000116,NAD,NAD+,oxalate,oxalate,unresolved,LDHC,1,MAR08780,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: LDHC
GGM-0000117,NAD,NAD+,oxalate,oxalate,unresolved,LDHD,1,MAR08780,0,,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: LDHD
GGM-0000118,NAD,NAD+,proline,proline,unresolved,PYCR1,1,MAR03837,0,,Arginine and proline metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PYCR1
GGM-0000119,NAD,NAD+,proline,proline,unresolved,PYCR2,1,MAR03835,0,,Arginine and proline metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PYCR2
GGM-0000120,NAD,NAD+,proline,proline,unresolved,PYCR3,1,MAR03835,0,,Arginine and proline metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PYCR3
GGM-0000121,NAD,NAD+,taurine,taurine,unresolved,FMO1,1,MAR13083,0,,Metabolism of other amino acids,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: FMO1
GGM-0000122,NAD,NAD+,thymine,thymine,unresolved,DPYD,1,MAR04470,0,,Pyrimidine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: DPYD
GGM-0000123,NAD,NAD+,urate,urate,unresolved,XDH,1,MAR04646,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: XDH
GGM-0000124,NAD,NAD+,xanthine,xanthine,unresolved,XDH,1,MAR04519,0,,Purine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: XDH
GGM-0000125,NADP,NADP+,beta-alanine,beta-alanine,unresolved,ALDH1B1,1,MAR04079,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH1B1
GGM-0000126,NADP,NADP+,beta-alanine,beta-alanine,unresolved,ALDH2,1,MAR04079,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH2
GGM-0000127,NADP,NADP+,beta-alanine,beta-alanine,unresolved,ALDH3A2,1,MAR04079,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH3A2
GGM-0000128,NADP,NADP+,beta-alanine,beta-alanine,unresolved,ALDH7A1,1,MAR04079,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH7A1
GGM-0000129,NADP,NADP+,beta-alanine,beta-alanine,unresolved,ALDH9A1,1,MAR04079,0,,Beta-alanine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: ALDH9A1
GGM-0000130,NADP,NADP+,citrulline,citrulline,unresolved,NOS1,1,MAR02023,0,,Arginine and proline metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NOS1
GGM-0000131,NADP,NADP+,citrulline,citrulline,unresolved,NOS2,1,MAR02023,0,,Arginine and proline metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NOS2
GGM-0000132,NADP,NADP+,citrulline,citrulline,unresolved,NOS3,1,MAR02023,0,,Arginine and proline metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: NOS3
GGM-0000133,NADP,NADP+,dimethylglycine,dimethylglycine,unresolved,DMGDH,1,MAR04700,0,,"Glycine, serine and threonine metabolism",False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: DMGDH
GGM-0000134,NADP,NADP+,dimethylglycine,dimethylglycine,unresolved,PDPR,1,MAR04700,0,,"Glycine, serine and threonine metabolism",False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: PDPR
GGM-0000135,NADP,NADP+,glucuronate,glucuronate,unresolved,AKR1A1,1,MAR06537,0,,Pentose and glucuronate interconversions,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: AKR1A1
GGM-0000136,NADP,NADP+,kynurenine,kynurenine,unresolved,KMO,1,MAR04220,0,,"Phenylalanine, tyrosine and tryptophan biosynthesis",False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: KMO
GGM-0000137,NADP,NADP+,lysine,lysine,unresolved,AASS,1,MAR04288,0,,Lysine metabolism,False,1_direct_reaction,Human-GEM v2.0.0,False,,,,,,False,missing frequencies: AASS
